Date,Aktual_Test,Prediksi_ARIMA,Batas_Bawah_95%,Batas_Atas_95%
2024-11-15,9348.53125,9285.480423986533,9102.557875639433,9468.402972333633
2024-11-18,9187.74609375,9285.480423986533,9043.237161753525,9527.723686219542
2024-11-19,9118.8369140625,9285.480423986533,8995.82038618224,9575.140461790827
2024-11-20,9256.6533203125,9285.480423986533,8955.141087993561,9615.819759979506
2024-11-21,9095.0673828125,9285.480423986533,8918.949093391493,9652.011754581574
2024-11-22,9095.0673828125,9285.480423986533,8886.02284712603,9684.938000847036
2024-11-25,9395.158203125,9285.480423986533,8855.611263526333,9715.349584446734
2024-11-26,9233.5703125,9285.480423986533,8827.213433556008,9743.74741441706
2024-11-28,9233.5703125,9285.480423986533,8800.475502442694,9770.485345530373
2024-11-29,9233.5703125,9285.480423986533,8775.136507274245,9795.824340698822
2024-12-02,9002.73046875,9285.480423986533,8750.997446962258,9819.96340101081
2024-12-03,9418.2412109375,9285.480423986533,8727.902454432297,9843.05839354077
2024-12-04,9418.2412109375,9285.480423986533,8705.726742208039,9865.234105765028
2024-12-05,9464.41015625,9285.480423986533,8684.368561735244,9886.592286237823
2024-12-06,9302.822265625,9285.480423986533,8663.743654651867,9907.2171933212
2024-12-09,9556.744140625,9285.480423986533,8643.781312450448,9927.179535522619
2024-12-10,9556.744140625,9285.480423986533,8624.421508949687,9946.53933902338
2024-12-11,9625.99609375,9285.480423986533,8605.612768811508,9965.348079161558
2024-12-12,9395.158203125,9285.480423986533,8587.310553570544,9983.650294402523
2024-12-13,9279.73828125,9285.480423986533,8569.476019418953,10001.484828554114
2024-12-16,9325.90625,9285.480423986533,8552.075047156182,10018.885800816885
2024-12-17,9141.234375,9285.480423986533,8535.077474787131,10035.883373185936
2024-12-18,9048.8984375,9285.480423986533,8518.456483310198,10052.50436466287
2024-12-19,8933.4794921875,9285.480423986533,8502.188099899191,10068.772748073876
2024-12-20,8910.3955078125,9285.480423986533,8486.250792167466,10084.7100558056
2024-12-23,9025.8154296875,9285.480423986533,8470.625133900536,10100.335714072531
2024-12-24,9002.73046875,9285.480423986533,8455.29352744779,10115.667320525277
2024-12-27,9048.8984375,9285.480423986533,8440.239971459489,10130.720876513578
2024-12-30,8933.4794921875,9285.480423986533,8425.44986523201,10145.510982741056
2025-01-02,9141.234375,9285.480423986533,8410.90984284679,10160.051005126277
2025-01-03,9095.0673828125,9285.480423986533,8396.60763173862,10174.353216234447
2025-01-06,8933.4794921875,9285.480423986533,8382.53193143444,10188.428916538627
2025-01-07,8794.9755859375,9285.480423986533,8368.672309054302,10202.288538918765
2025-01-08,8933.4794921875,9285.480423986533,8355.019108826637,10215.94173914643
2025-01-09,9095.0673828125,9285.480423986533,8341.56337338697,10229.397474586096
2025-01-10,8979.646484375,9285.480423986533,8328.296775037143,10242.664072935924
2025-01-13,8933.4794921875,9285.480423986533,8315.211555466283,10255.749292506784
2025-01-14,8794.9755859375,9285.480423986533,8302.300472694269,10268.660375278798
2025-01-15,9048.8984375,9285.480423986533,8289.556754207291,10281.404093765776
2025-01-16,9002.73046875,9285.480423986533,8276.974055424565,10293.986792548501
2025-01-17,9141.234375,9285.480423986533,8264.546422773165,10306.414425199902
2025-01-20,8887.3115234375,9285.480423986533,8252.268260761073,10318.692587211994
2025-01-21,8841.1435546875,9285.480423986533,8240.134302531766,10330.826545441301
2025-01-22,8864.2275390625,9285.480423986533,8228.139583460632,10342.821264512435
2025-01-23,8864.2275390625,9285.480423986533,8216.279417417836,10354.68143055523
2025-01-24,8633.3876953125,9285.480423986533,8204.549375375658,10366.411472597409
2025-01-30,8448.716796875,9285.480423986533,8192.945266083365,10378.015581889702
2025-01-31,8725.724609375,9285.480423986533,8181.463118570538,10389.497729402528
2025-02-03,8633.3876953125,9285.480423986533,8170.099166271716,10400.861681701352
2025-02-04,8471.7998046875,9285.480423986533,8158.84983259245,10412.111015380617
2025-02-05,8425.6328125,9285.480423986533,8147.711717759967,10423.2491302131
2025-02-06,8264.044921875,9285.480423986533,8136.681586821397,10434.279261151669
2025-02-07,8633.3876953125,9285.480423986533,8125.756358669501,10445.204489303565
2025-02-10,8448.716796875,9285.480423986533,8114.933095990371,10456.027751982696
2025-02-11,8379.4658203125,9285.480423986533,8104.208996040166,10466.7518519329
2025-02-12,8448.716796875,9285.480423986533,8093.581382168837,10477.37946580423
2025-02-13,8310.2138671875,9285.480423986533,8083.047696018171,10487.913151954896
2025-02-14,8287.12890625,9285.480423986533,8072.605490329757,10498.35535764331
2025-02-17,8610.3037109375,9285.480423986533,8062.252422305562,10508.708425667504
2025-02-18,8587.2197265625,9285.480423986533,8051.986247470115,10518.974600502952
2025-02-19,8264.044921875,9285.480423986533,8041.804813988729,10529.156033984338
2025-02-20,8310.2138671875,9285.480423986533,8031.70605740102,10539.254790572046
2025-02-21,8310.2138671875,9285.480423986533,8021.687995733223,10549.272852239843
2025-02-24,8240.9619140625,9285.480423986533,8011.748724956517,10559.21212301655
2025-02-25,8148.6259765625,9285.480423986533,8001.886414761893,10569.074433211174
2025-02-26,8102.45751953125,9285.480423986533,7992.099304625006,10578.86154334806
2025-02-27,7871.6181640625,9285.480423986533,7982.385700137046,10588.575147836022
2025-02-28,7779.283203125,9285.480423986533,7972.743969579989,10598.216878393077
2025-03-03,8125.5419921875,9285.480423986533,7963.172540726602,10607.788307246465
2025-03-04,8171.71044921875,9285.480423986533,7953.669897847453,10617.290950125613
2025-03-05,8310.2138671875,9285.480423986533,7944.234578908777,10626.726269064291
2025-03-06,8287.12890625,9285.480423986533,7934.865172946535,10636.095675026532
2025-03-07,8240.9619140625,9285.480423986533,7925.560317603318,10645.400530369749
2025-03-10,8240.9619140625,9285.480423986533,7916.318696815916,10654.64215115715
2025-03-11,8240.9619140625,9285.480423986533,7907.139038642423,10663.821809330644
2025-03-12,8425.6328125,9285.480423986533,7898.020113218758,10672.94073475431
2025-03-13,8287.12890625,9285.480423986533,7888.960730835267,10682.0001171378
2025-03-14,8079.3740234375,9285.480423986533,7879.959740124926,10691.00110784814
2025-03-17,7940.8701171875,9285.480423986533,7871.016026355297,10699.94482161777
2025-03-18,7663.86279296875,9285.480423986533,7862.1285098171,10708.832338155966
2025-03-19,7686.94677734375,9285.480423986533,7853.296144302776,10717.66470367029
2025-03-20,7733.115234375,9285.480423986533,7844.517915668994,10726.442932304073
2025-03-21,7518.966796875,9285.480423986533,7835.7928404774975,10735.16800749557
2025-03-24,7566.5556640625,9285.480423986533,7827.119964709143,10743.840883263925
2025-03-25,7661.732421875,9285.480423986533,7818.498362546361,10752.462485426706
2025-03-26,8113.82177734375,9285.480423986533,7809.927135219656,10761.033712753411
2025-03-27,8090.02734375,9285.480423986533,7801.405409914049,10769.555438059018
2025-04-08,7399.99560546875,9285.480423986533,7792.9323387317445,10778.028509241323
2025-04-09,7542.76123046875,9285.480423986533,7784.507097707472,10786.453750265595
2025-04-10,7828.29150390625,9285.480423986533,7776.12888587332,10794.831962099746
2025-04-11,7875.8798828125,9285.480423986533,7767.796924370023,10803.163923603044
2025-04-14,7994.85107421875,9285.480423986533,7759.510455601929,10811.450392371138
2025-04-15,8161.41064453125,9285.480423986533,7751.268742433038,10819.692105540029
2025-04-16,8066.2333984375,9285.480423986533,7743.071067421714,10827.889780551352
2025-04-17,8090.02734375,9285.480423986533,7734.916732091811,10836.044115881255
2025-04-21,7899.673828125,9285.480423986533,7726.8050562381095,10844.155791734958
2025-04-22,8090.02734375,9285.480423986533,7718.735377264133,10852.225470708934
2025-04-23,8304.17578125,9285.480423986533,7710.707049550493,10860.253798422573
2025-04-24,8066.2333984375,9285.480423986533,7702.719443852083,10868.241404120983
2025-04-25,8185.20458984375,9285.480423986533,7694.7719467225,10876.188901250567
2025-04-28,8351.763671875,9285.480423986533,7686.863959964236,10884.096888008831
2025-04-29,8304.17578125,9285.480423986533,7678.994900103219,10891.965947869849
2025-04-30,8399.3525390625,9285.480423986533,7671.164197886412,10899.796650086655
2025-05-02,8542.1171875,9285.480423986533,7663.3712978012345,10907.589550171833
2025-05-05,8542.1171875,9285.480423986533,7655.615657615676,10915.34519035739
