Date,Open,High,Low,Close,Volume,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,MA_5,MA_20
2019-01-28,4511.474021127161,4511.474021127161,4478.752541372839,4495.11328125,69704000,4499.20263671875,4466.48291015625,4499.20263671875,4581.00634765625,4536.0146484375,4508.2015625,4363.000024414063
2019-01-29,4454.210812785565,4540.104685208427,4450.120628384477,4531.92431640625,77679000,4495.11328125,4499.20263671875,4466.48291015625,4499.20263671875,4581.00634765625,4498.38515625,4376.906640625
2019-01-30,4548.284951030345,4548.284951030345,4495.112555020098,4515.5634765625,76285000,4531.92431640625,4495.11328125,4499.20263671875,4466.48291015625,4499.20263671875,4501.65732421875,4388.359155273438
2019-01-31,4515.563934948979,4613.728368317436,4515.563934948979,4609.63818359375,135904500,4515.5634765625,4531.92431640625,4495.11328125,4499.20263671875,4466.48291015625,4530.28837890625,4406.969482421875
2019-02-01,4646.449846106921,4703.71243223852,4548.285412738464,4609.63818359375,57719500,4609.63818359375,4515.5634765625,4531.92431640625,4495.11328125,4499.20263671875,4552.37548828125,4424.557299804687
2019-02-04,4609.637610529119,4609.637610529119,4499.20263671875,4499.20263671875,113846500,4609.63818359375,4609.63818359375,4515.5634765625,4531.92431640625,4495.11328125,4553.193359375,4434.987231445312
2019-02-05,4499.20263671875,4499.20263671875,4499.20263671875,4499.20263671875,0,4499.20263671875,4609.63818359375,4609.63818359375,4515.5634765625,4531.92431640625,4546.6490234375,4445.6217041015625
2019-02-06,4499.203664888211,4531.925146087398,4495.113479738313,4527.8349609375,121996500,4499.20263671875,4499.20263671875,4609.63818359375,4609.63818359375,4515.5634765625,4549.1033203125,4457.07421875
2019-02-07,4527.83432520061,4527.83432520061,4503.293217746948,4523.744140625,63697500,4527.8349609375,4499.20263671875,4499.20263671875,4609.63818359375,4609.63818359375,4531.92451171875,4468.322192382812
2019-02-08,4523.7438451794615,4527.834029487942,4499.202739328578,4515.5634765625,65268500,4523.744140625,4527.8349609375,4499.20263671875,4499.20263671875,4609.63818359375,4513.1095703125,4479.365698242187
2019-02-11,4515.564206096451,4523.744576035032,4466.481986464968,4495.11328125,37639000,4515.5634765625,4523.744140625,4527.8349609375,4499.20263671875,4499.20263671875,4512.29169921875,4491.4317626953125
2019-02-12,4523.74551156851,4523.74551156851,4458.302538525927,4466.48291015625,95883500,4495.11328125,4515.5634765625,4523.744140625,4527.8349609375,4499.20263671875,4505.74775390625,4499.612158203125
2019-02-13,4466.481731794857,4491.0228402113125,4425.579884434098,4433.76025390625,103115500,4466.48291015625,4495.11328125,4515.5634765625,4523.744140625,4527.8349609375,4486.9328125,4505.1339111328125
2019-02-14,4421.489987511617,4421.489987511617,4401.0390625,4401.0390625,108738500,4433.76025390625,4466.48291015625,4495.11328125,4515.5634765625,4523.744140625,4462.391796875,4507.179028320313
2019-02-15,4384.677734375,4425.57957891208,4364.22681210646,4384.677734375,81340000,4401.0390625,4433.76025390625,4466.48291015625,4495.11328125,4515.5634765625,4436.2146484375,4504.520385742188
2019-02-18,4425.579701221773,4499.203023423243,4425.579701221773,4482.84228515625,62991000,4384.677734375,4401.0390625,4433.76025390625,4466.48291015625,4495.11328125,4433.76044921875,4501.861767578125
2019-02-19,4433.760542518588,4482.842762546468,4401.0390625,4401.0390625,64469000,4482.84228515625,4384.677734375,4401.0390625,4433.76025390625,4466.48291015625,4420.6716796875,4492.8634033203125
2019-02-20,4458.300794566761,4576.916136807528,4450.120426136364,4499.20263671875,89583000,4401.0390625,4482.84228515625,4384.677734375,4401.0390625,4433.76025390625,4433.76015625,4492.8634033203125
2019-02-21,4531.924750581858,4548.285489753633,4474.662163480642,4503.29345703125,54561500,4499.20263671875,4401.0390625,4482.84228515625,4384.677734375,4401.0390625,4454.21103515625,4494.703930664063
2019-02-22,4478.752394712687,4519.654243066228,4466.481840206626,4491.02294921875,48271500,4503.29345703125,4499.20263671875,4401.0390625,4482.84228515625,4384.677734375,4475.480078125,4494.294946289063
2019-02-25,4491.02294921875,4499.2033188894575,4462.391655371272,4491.02294921875,47887000,4491.02294921875,4503.29345703125,4499.20263671875,4401.0390625,4482.84228515625,4477.1162109375,4494.0904296875
2019-02-26,4499.203763149752,4544.19580078125,4495.113577910525,4544.19580078125,98446000,4491.02294921875,4491.02294921875,4503.29345703125,4499.20263671875,4401.0390625,4505.74755859375,4494.70400390625
2019-02-27,4552.37646484375,4556.466650346754,4536.015722831733,4552.37646484375,78519500,4544.19580078125,4491.02294921875,4491.02294921875,4503.29345703125,4499.20263671875,4516.38232421875,4496.544653320312
2019-02-28,4556.466649903672,4564.647020908885,4507.384423872393,4511.474609375,99366000,4552.37646484375,4544.19580078125,4491.02294921875,4491.02294921875,4503.29345703125,4518.0185546875,4491.636474609375
2019-03-01,4552.375238411693,4581.006529219314,4527.834132005161,4531.92431640625,72589500,4511.474609375,4552.37646484375,4544.19580078125,4491.02294921875,4491.02294921875,4526.198828125,4487.75078125
2019-03-04,4515.564405487805,4531.925146087398,4511.474220337906,4527.8349609375,63910500,4531.92431640625,4511.474609375,4552.37646484375,4544.19580078125,4491.02294921875,4533.56123046875,4489.182397460938
2019-03-05,4499.20346621929,4503.29365118858,4450.121246587807,4495.11328125,46499500,4527.8349609375,4531.92431640625,4511.474609375,4552.37646484375,4544.19580078125,4523.7447265625,4488.9779296875
2019-03-06,4544.195352078353,4544.195352078353,4491.02294921875,4491.02294921875,37777000,4495.11328125,4527.8349609375,4531.92431640625,4511.474609375,4552.37646484375,4511.4740234375,4487.1373291015625
2019-03-07,4491.02294921875,4491.02294921875,4491.02294921875,4491.02294921875,0,4491.02294921875,4495.11328125,4527.8349609375,4531.92431640625,4511.474609375,4507.38369140625,4485.50126953125
