Date,Open,High,Low,Close,Volume
2019-01-01,4253.7919921875,4253.7919921875,4253.7919921875,4253.7919921875,0
2019-01-02,4253.791708909828,4290.60336792924,4253.791708909828,4286.51318359375,35956000
2019-01-03,4253.792380550193,4270.1531204753865,4184.259235868123,4237.431640625,72358000
2019-01-04,4233.340730254863,4257.8818359375,4192.438887450468,4257.8818359375,51465000
2019-01-07,4306.96474367329,4356.04696297441,4290.60400390625,4290.60400390625,73438000
2019-01-08,4278.33281492277,4351.9561329615935,4257.881893245319,4286.51318359375,66247500
2019-01-09,4335.596334963725,4351.9570758503805,4274.243556638767,4298.78466796875,84871000
2019-01-10,4335.596334963725,4335.596334963725,4245.6122600871195,4298.78466796875,114314500
2019-01-11,4319.234464285714,4335.595200892857,4282.422806919642,4294.693359375,84826500
2019-01-14,4270.15273061899,4282.423284442608,4212.890146108774,4253.7919921875,87547500
2019-01-15,4278.3338878326995,4302.875,4245.612404942965,4302.875,87763000
2019-01-16,4302.874271966651,4323.3251953125,4290.603717959141,4323.3251953125,94972500
2019-01-17,4327.415242436679,4360.13671875,4323.325057897514,4360.13671875,91654000
2019-01-18,4368.31744311636,4437.8505859375,4347.8665187572005,4437.8505859375,100873500
2019-01-21,4437.85021961649,4581.006678313796,4409.218927877029,4536.0146484375,87118000
2019-01-22,4581.00634765625,4597.367084612165,4458.300820486886,4581.00634765625,91907000
2019-01-23,4581.006321022727,4581.006321022727,4478.751715642756,4499.20263671875,98512500
2019-01-24,4441.941795265282,4486.933839232057,4380.58900803786,4466.48291015625,106781000
2019-01-25,4417.398952414773,4515.563373579545,4417.398952414773,4499.20263671875,68944000
2019-01-28,4511.474021127161,4511.474021127161,4478.752541372839,4495.11328125,69704000
2019-01-29,4454.210812785565,4540.104685208427,4450.120628384477,4531.92431640625,77679000
2019-01-30,4548.284951030345,4548.284951030345,4495.112555020098,4515.5634765625,76285000
2019-01-31,4515.563934948979,4613.7283683174355,4515.563934948979,4609.63818359375,135904500
2019-02-01,4646.449846106921,4703.71243223852,4548.285412738464,4609.63818359375,57719500
2019-02-04,4609.637610529119,4609.637610529119,4499.20263671875,4499.20263671875,113846500
2019-02-05,4499.20263671875,4499.20263671875,4499.20263671875,4499.20263671875,0
2019-02-06,4499.203664888211,4531.925146087398,4495.113479738313,4527.8349609375,121996500
2019-02-07,4527.83432520061,4527.83432520061,4503.293217746948,4523.744140625,63697500
2019-02-08,4523.7438451794615,4527.834029487942,4499.202739328578,4515.5634765625,65268500
2019-02-11,4515.564206096451,4523.744576035032,4466.481986464968,4495.11328125,37639000
2019-02-12,4523.74551156851,4523.74551156851,4458.302538525927,4466.48291015625,95883500
2019-02-13,4466.481731794857,4491.0228402113125,4425.579884434098,4433.76025390625,103115500
2019-02-14,4421.489987511617,4421.489987511617,4401.0390625,4401.0390625,108738500
2019-02-15,4384.677734375,4425.57957891208,4364.22681210646,4384.677734375,81340000
2019-02-18,4425.579701221773,4499.203023423243,4425.579701221773,4482.84228515625,62991000
2019-02-19,4433.7605425185875,4482.842762546468,4401.0390625,4401.0390625,64469000
2019-02-20,4458.300794566761,4576.916136807528,4450.120426136364,4499.20263671875,89583000
2019-02-21,4531.924750581858,4548.285489753633,4474.662163480642,4503.29345703125,54561500
2019-02-22,4478.752394712687,4519.654243066228,4466.481840206626,4491.02294921875,48271500
2019-02-25,4491.02294921875,4499.2033188894575,4462.391655371272,4491.02294921875,47887000
2019-02-26,4499.203763149752,4544.19580078125,4495.113577910525,4544.19580078125,98446000
2019-02-27,4552.37646484375,4556.466650346754,4536.015722831733,4552.37646484375,78519500
2019-02-28,4556.466649903672,4564.647020908885,4507.384423872393,4511.474609375,99366000
2019-03-01,4552.375238411693,4581.006529219314,4527.834132005161,4531.92431640625,72589500
2019-03-04,4515.564405487805,4531.925146087398,4511.474220337906,4527.8349609375,63910500
2019-03-05,4499.20346621929,4503.29365118858,4450.121246587807,4495.11328125,46499500
2019-03-06,4544.195352078353,4544.195352078353,4491.02294921875,4491.02294921875,37777000
2019-03-07,4491.02294921875,4491.02294921875,4491.02294921875,4491.02294921875,0
2019-03-08,4536.014477449306,4556.465399349438,4450.12060546875,4450.12060546875,61126000
2019-03-11,4523.74438099597,4523.74438099597,4466.481793894754,4503.29345703125,32469000
2019-03-12,4531.924110440341,4531.924110440341,4458.300794566761,4499.20263671875,40178500
2019-03-13,4458.300794566761,4503.292820933949,4458.300794566761,4499.20263671875,17722000
2019-03-14,4458.301177755759,4495.112838856495,4458.301177755759,4482.84228515625,41096000
2019-03-15,4515.563578801895,4536.014500807339,4486.932287994275,4531.92431640625,41759500
