Tanggal,Harga_Aktual,Prediksi_MLR
2026-02-18,6969.884765625,6940.804797838768
2026-02-19,6874.07861328125,6998.907511172659
2026-02-20,6921.9814453125,6895.9772620499
2026-02-23,6993.8359375,6925.312622317009
2026-02-24,6921.9814453125,7008.721601484385
2026-02-25,7017.78759765625,6953.451826254621
2026-02-26,6993.8359375,7027.681145097295
2026-02-27,6874.07861328125,6981.862583773877
2026-03-02,6730.36962890625,6913.48536470647
2026-03-03,6778.2724609375,6749.915549980071
2026-03-04,6586.66064453125,6784.872584425553
2026-03-05,6802.22412109375,6601.6459150804785
2026-03-06,6706.41796875,6792.0597623204685
2026-03-09,6586.66064453125,6727.887224610227
2026-03-10,6682.466796875,6599.086662827198
2026-03-11,6538.7578125,6701.955401622492
2026-03-12,6610.6123046875,6562.357953149459
2026-03-13,6586.66064453125,6638.745509079193
2026-03-16,6466.9033203125,6629.528249157245
2026-03-17,6490.8544921875,6474.675575800119
2026-03-25,6610.6123046875,6516.578744353171
2026-03-26,6586.66064453125,6612.919441781056
2026-03-27,6419.0,6612.9241028787055
2026-03-30,6450.0,6469.675771915738
2026-03-31,6450.0,6461.6836788667815
2026-04-01,6500.0,6491.038509173204
2026-04-02,6575.0,6541.412190530183
2026-04-06,6500.0,6568.335332534105
2026-04-07,6500.0,6500.537612498394
2026-04-08,6750.0,6496.9233708555485
2026-04-09,6475.0,6765.928362673907
2026-04-10,6700.0,6505.531793177865
2026-04-13,6575.0,6671.013207764681
2026-04-14,6750.0,6600.736857569233
2026-04-15,6550.0,6761.795116004147
2026-04-16,6525.0,6578.653947733608
2026-04-17,6425.0,6550.468606189264
2026-04-20,6475.0,6458.207197648531
2026-04-21,6500.0,6501.379913643536
2026-04-22,6450.0,6497.266637735777
2026-04-23,6425.0,6475.001824486784
2026-04-24,6050.0,6461.742446764172
2026-04-27,5975.0,6116.90293061489
2026-04-28,6000.0,6003.972188407653
2026-04-29,5975.0,6014.89949527625
2026-04-30,5850.0,5999.16252353993
2026-05-04,5900.0,5875.129966183324
2026-05-05,5950.0,5918.1429264049
2026-05-06,5950.0,5982.458233577152
2026-05-07,6225.0,5955.646088109324
2026-05-08,6175.0,6236.279172057744
2026-05-11,6150.0,6246.814497617526
2026-05-12,6125.0,6162.261963743646
2026-05-13,6100.0,6117.262827125588
2026-05-14,6100.0,6108.997804627161
2026-05-15,6100.0,6103.009433725251
2026-05-18,6125.0,6103.009433725251
2026-05-19,5950.0,6100.451391004156
2026-05-20,5975.0,6010.747084223405
2026-05-21,5950.0,5990.346874374755
2026-05-22,5900.0,6002.104333506641
