ds,y
2019-01-01,4253.7919921875
2019-01-02,4286.51318359375
2019-01-03,4237.431640625
2019-01-04,4257.8818359375
2019-01-07,4290.60400390625
2019-01-08,4286.51318359375
2019-01-09,4298.78466796875
2019-01-10,4298.78466796875
2019-01-11,4294.693359375
2019-01-14,4253.7919921875
2019-01-15,4302.875
2019-01-16,4323.3251953125
2019-01-17,4360.13671875
2019-01-18,4437.8505859375
2019-01-21,4536.0146484375
2019-01-22,4581.00634765625
2019-01-23,4499.20263671875
2019-01-24,4466.48291015625
2019-01-25,4499.20263671875
2019-01-28,4495.11328125
2019-01-29,4531.92431640625
2019-01-30,4515.5634765625
2019-01-31,4609.63818359375
2019-02-01,4609.63818359375
2019-02-04,4499.20263671875
2019-02-05,4499.20263671875
2019-02-06,4527.8349609375
2019-02-07,4523.744140625
2019-02-08,4515.5634765625
2019-02-11,4495.11328125
2019-02-12,4466.48291015625
2019-02-13,4433.76025390625
2019-02-14,4401.0390625
2019-02-15,4384.677734375
2019-02-18,4482.84228515625
2019-02-19,4401.0390625
2019-02-20,4499.20263671875
2019-02-21,4503.29345703125
2019-02-22,4491.02294921875
2019-02-25,4491.02294921875
2019-02-26,4544.19580078125
2019-02-27,4552.37646484375
2019-02-28,4511.474609375
2019-03-01,4531.92431640625
2019-03-04,4527.8349609375
2019-03-05,4495.11328125
2019-03-06,4491.02294921875
2019-03-07,4491.02294921875
2019-03-08,4450.12060546875
2019-03-11,4503.29345703125
2019-03-12,4499.20263671875
2019-03-13,4499.20263671875
2019-03-14,4482.84228515625
2019-03-15,4531.92431640625
2019-03-18,4540.10546875
2019-03-19,4491.02294921875
2019-03-20,4474.662109375
2019-03-21,4478.75244140625
2019-03-22,4486.93310546875
2019-03-25,4462.39111328125
2019-03-26,4474.662109375
2019-03-27,4486.93310546875
2019-03-28,4474.662109375
2019-03-29,4507.3837890625
2019-04-01,4499.20263671875
2019-04-02,4499.20263671875
2019-04-03,4499.20263671875
2019-04-04,4531.92431640625
2019-04-05,4523.744140625
2019-04-08,4482.84228515625
2019-04-09,4527.8349609375
2019-04-10,4519.654296875
2019-04-11,4482.84228515625
2019-04-12,4499.20263671875
2019-04-15,4503.29345703125
2019-04-16,4495.11328125
2019-04-17,4495.11328125
2019-04-18,4601.45751953125
2019-04-19,4601.45751953125
2019-04-22,4601.45751953125
2019-04-23,4605.5478515625
2019-04-24,4647.6494140625
2019-04-25,4618.7568359375
2019-04-26,4639.39453125
2019-04-29,4693.05322265625
2019-04-30,4746.7099609375
2019-05-01,4746.7099609375
2019-05-02,4693.05322265625
2019-05-03,4684.7978515625
2019-05-06,4639.39453125
2019-05-07,4672.4150390625
2019-05-08,4705.435546875
2019-05-09,4647.6494140625
2019-05-10,4631.13916015625
2019-05-13,4631.13916015625
2019-05-14,4536.20556640625
2019-05-15,4507.3115234375
2019-05-16,4358.71826171875
2019-05-17,4276.16796875
2019-05-20,4441.27099609375
2019-05-21,4507.3115234375
2019-05-22,4507.3115234375
2019-05-23,4627.01123046875
2019-05-24,4631.13916015625
2019-05-27,4693.05322265625
2019-05-28,4734.3291015625
2019-05-29,4738.45556640625
2019-05-30,4738.45556640625
2019-05-31,4804.4970703125
2019-06-03,4804.4970703125
2019-06-04,4804.4970703125
2019-06-05,4804.4970703125
2019-06-06,4804.4970703125
2019-06-07,4804.4970703125
2019-06-10,4854.0283203125
2019-06-11,4878.79345703125
2019-06-12,4825.134765625
2019-06-13,4792.1142578125
2019-06-14,4787.9873046875
2019-06-17,4783.85888671875
2019-06-18,4870.53759765625
2019-06-19,4903.5595703125
2019-06-20,4878.79345703125
2019-06-21,4854.0283203125
2019-06-24,4849.8994140625
2019-06-25,4878.79345703125
2019-06-26,4841.64501953125
2019-06-27,4899.43115234375
2019-06-28,4948.96240234375
2019-07-01,4944.83447265625
2019-07-02,4953.08935546875
2019-07-03,4953.08935546875
2019-07-04,4944.83447265625
2019-07-05,4928.32421875
2019-07-08,4854.0283203125
2019-07-09,4953.08935546875
2019-07-10,4953.08935546875
2019-07-11,4973.72705078125
2019-07-12,4961.3447265625
2019-07-15,5039.7685546875
2019-07-16,5023.25830078125
2019-07-17,5076.9169921875
2019-07-18,5072.78955078125
2019-07-19,5118.19189453125
2019-07-22,5192.48876953125
2019-07-23,5147.08642578125
2019-07-24,5159.46826171875
2019-07-25,5159.46826171875
2019-07-26,5114.0654296875
2019-07-29,5109.9384765625
2019-07-30,5134.703125
2019-07-31,5109.9384765625
2019-08-01,5126.447265625
2019-08-02,5089.30029296875
2019-08-05,4953.08935546875
2019-08-06,4854.0283203125
2019-08-07,4961.3447265625
2019-08-08,4957.2177734375
2019-08-09,5006.74853515625
2019-08-12,4986.1103515625
2019-08-13,4965.47314453125
2019-08-14,4961.3447265625
