Tanggal,Harga_Aktual,Prediksi_Prophet,Batas_Bawah_Pasti,Batas_Atas_Pasti
2024-11-12,9325.560546875,9752.59075712752,9443.63877475483,10061.880598961809
2024-11-13,9325.560546875,9757.324272565009,9457.487909195495,10070.186263439855
2024-11-14,9279.6240234375,9767.720143554532,9453.209346945687,10080.403065670806
2024-11-15,9348.53125,9770.665946664356,9471.381882006071,10106.04085962885
2024-11-18,9187.74609375,9777.379132299116,9472.435068756886,10111.98549424492
2024-11-19,9118.8369140625,9783.014236499606,9464.526462787306,10123.343892623445
2024-11-20,9256.6533203125,9786.542889575707,9456.065562244848,10089.324122107293
2024-11-21,9095.0673828125,9795.765364526593,9471.872398690928,10083.100257839591
2024-11-22,9095.0673828125,9797.570677157006,9483.680447505116,10102.583703825658
2024-11-25,9395.158203125,9801.072465908685,9465.617917090138,10120.830466322765
2024-11-26,9233.5703125,9805.713930991382,9497.568623889256,10116.355621280554
2024-11-28,9233.5703125,9816.618135148852,9504.069587685754,10123.517225668926
2024-11-29,9233.5703125,9817.584964425307,9526.241013479139,10125.752733663041
2024-12-02,9002.73046875,9819.048675716878,9490.253437903702,10118.249768289692
2024-12-03,9418.2412109375,9823.221994883574,9483.46083060088,10156.275365181316
2024-12-04,9418.2412109375,9825.470551758639,9500.416845634645,10138.858093413008
2024-12-05,9464.41015625,9833.62226495605,9503.957448006018,10134.924861192407
2024-12-06,9302.822265625,9834.596871717495,9504.052235125044,10147.042923996281
2024-12-09,9556.744140625,9837.388700609476,9522.391845668499,10135.587505232988
2024-12-10,9556.744140625,9842.507325651772,9543.608417471309,10114.348096566611
2024-12-11,9625.99609375,9845.980176462803,9508.777370318969,10169.86179891815
2024-12-12,9395.158203125,9855.646205520257,9530.406338377119,10160.637910356252
2024-12-13,9279.73828125,9858.431259657098,9541.597995538843,10188.752330655589
2024-12-16,9325.90625,9868.403221470959,9587.167412078723,10201.223258169563
2024-12-17,9141.234375,9876.455264917005,9549.23831872289,10202.548523699432
2024-12-18,9048.8984375,9883.092175265268,9562.75200536814,10204.254548868274
2024-12-19,8933.4794921875,9896.118366760515,9583.754216362677,10211.417389385944
2024-12-20,8910.3955078125,9902.418174027192,9562.040970929442,10227.518510277969
2024-12-23,9025.8154296875,9923.35453786483,9600.440181540416,10244.22502402656
2024-12-24,9002.73046875,9935.007672002928,9618.310528057402,10268.586892514631
2024-12-27,9048.8984375,9970.72125805528,9662.089454621597,10303.159877832672
2024-12-30,8933.4794921875,9998.51653792816,9676.725518466325,10314.084485180441
2025-01-02,9141.234375,10039.165292871437,9724.110682838547,10360.434171941597
2025-01-03,9095.0673828125,10048.245716339034,9691.808014661103,10355.170449868368
2025-01-06,8933.4794921875,10072.022283118837,9746.625990975266,10398.47680160479
2025-01-07,8794.9755859375,10082.684610601393,9751.569714649455,10391.261392474891
2025-01-08,8933.4794921875,10090.828570875476,9784.825729598793,10436.899658471208
2025-01-09,9095.0673828125,10104.223278438923,9782.286616272811,10429.57598050797
2025-01-10,8979.646484375,10109.739627342582,9775.741504861786,10421.176553914356
2025-01-13,8933.4794921875,10121.62556642712,9791.65888298535,10447.725594153497
2025-01-14,8794.9755859375,10128.215478024977,9795.063123387665,10451.678289015701
2025-01-15,9048.8984375,10132.38436820032,9800.739398705291,10444.667922945708
2025-01-16,9002.73046875,10141.9915556453,9798.640222189397,10462.710389216561
2025-01-17,9141.234375,10143.994281723499,9803.393017064342,10483.637152812926
2025-01-20,8887.3115234375,10147.740523623826,9814.424448028698,10468.342631083538
2025-01-21,8841.1435546875,10152.620302670475,9810.665247756482,10488.948055644702
