Tanggal,Harga_Aktual,Prediksi_HoltWinters
2024-11-12,9325.560546875,9242.584216653955
2024-11-13,9325.560546875,9248.116648479954
2024-11-14,9279.6240234375,9226.558561307414
2024-11-15,9348.53125,9249.37734302463
2024-11-18,9187.74609375,9252.139549966952
2024-11-19,9118.8369140625,9248.40266318118
2024-11-20,9256.6533203125,9255.386154127107
2024-11-21,9095.0673828125,9265.249926959234
2024-11-22,9095.0673828125,9276.849783476402
2024-11-25,9395.158203125,9271.295067237566
2024-11-26,9233.5703125,9273.679751930757
2024-11-28,9233.5703125,9279.422595957367
2024-11-29,9233.5703125,9277.979180518083
2024-12-02,9002.73046875,9290.071394649727
2024-12-03,9418.2412109375,9316.217722424868
2024-12-04,9418.2412109375,9319.802457409707
2024-12-05,9464.41015625,9338.786077915096
2024-12-06,9302.822265625,9350.738685023462
2024-12-09,9556.744140625,9331.603884377178
2024-12-10,9556.744140625,9321.620921736569
2024-12-11,9625.99609375,9302.143497318293
2024-12-12,9395.158203125,9308.508398711636
2024-12-13,9279.73828125,9314.040830537637
2024-12-16,9325.90625,9292.482743365095
2024-12-17,9141.234375,9315.30152508231
2024-12-18,9048.8984375,9318.063732024633
2024-12-19,8933.4794921875,9314.32684523886
2024-12-20,8910.3955078125,9321.310336184788
2024-12-23,9025.8154296875,9331.174109016914
2024-12-24,9002.73046875,9342.773965534083
2024-12-27,9048.8984375,9337.219249295247
2024-12-30,8933.4794921875,9339.603933988437
2025-01-02,9141.234375,9345.346778015048
2025-01-03,9095.0673828125,9343.903362575764
2025-01-06,8933.4794921875,9355.995576707408
2025-01-07,8794.9755859375,9382.141904482549
2025-01-08,8933.4794921875,9385.726639467388
2025-01-09,9095.0673828125,9404.710259972777
2025-01-10,8979.646484375,9416.662867081142
2025-01-13,8933.4794921875,9397.52806643486
2025-01-14,8794.9755859375,9387.54510379425
2025-01-15,9048.8984375,9368.067679375974
2025-01-16,9002.73046875,9374.432580769317
2025-01-17,9141.234375,9379.965012595318
2025-01-20,8887.3115234375,9358.406925422776
2025-01-21,8841.1435546875,9381.22570713999
2025-01-22,8864.2275390625,9383.987914082314
2025-01-23,8864.2275390625,9380.251027296543
2025-01-24,8633.3876953125,9387.234518242469
2025-01-30,8448.716796875,9397.098291074595
2025-01-31,8725.724609375,9408.698147591764
2025-02-03,8633.3876953125,9403.14343135293
2025-02-04,8471.7998046875,9405.528116046118
2025-02-05,8425.6328125,9411.270960072728
2025-02-06,8264.044921875,9409.827544633445
2025-02-07,8633.3876953125,9421.919758765089
2025-02-10,8448.716796875,9448.06608654023
2025-02-11,8379.4658203125,9451.650821525069
2025-02-12,8448.716796875,9470.634442030458
2025-02-13,8310.2138671875,9482.587049138823
2025-02-14,8287.12890625,9463.45224849254
2025-02-17,8610.3037109375,9453.46928585193
2025-02-18,8587.2197265625,9433.991861433655
2025-02-19,8264.044921875,9440.356762826998
2025-02-20,8310.2138671875,9445.889194652998
2025-02-21,8310.2138671875,9424.331107480457
2025-02-24,8240.9619140625,9447.149889197672
2025-02-25,8148.6259765625,9449.912096139995
2025-02-26,8102.45751953125,9446.175209354224
2025-02-27,7871.6181640625,9453.15870030015
2025-02-28,7779.283203125,9463.022473132276
2025-03-03,8125.5419921875,9474.622329649445
2025-03-04,8171.71044921875,9469.06761341061
2025-03-05,8310.2138671875,9471.452298103799
2025-03-06,8287.12890625,9477.19514213041
2025-03-07,8240.9619140625,9475.751726691125
2025-03-10,8240.9619140625,9487.843940822771
2025-03-11,8240.9619140625,9513.99026859791
2025-03-12,8425.6328125,9517.57500358275
2025-03-13,8287.12890625,9536.558624088138
2025-03-14,8079.3740234375,9548.511231196504
2025-03-17,7940.8701171875,9529.37643055022
2025-03-18,7663.86279296875,9519.393467909611
2025-03-19,7686.94677734375,9499.916043491336
2025-03-20,7733.115234375,9506.280944884678
2025-03-21,7518.966796875,9511.81337671068
2025-03-24,7566.5556640625,9490.255289538138
2025-03-25,7661.732421875,9513.074071255352
2025-03-26,8113.82177734375,9515.836278197676
2025-03-27,8090.02734375,9512.099391411904
2025-04-08,7399.99560546875,9519.08288235783
2025-04-09,7542.76123046875,9528.946655189957
2025-04-10,7828.29150390625,9540.546511707125
2025-04-11,7875.8798828125,9534.991795468291
2025-04-14,7994.85107421875,9537.37648016148
2025-04-15,8161.41064453125,9543.11932418809
2025-04-16,8066.2333984375,9541.675908748806
2025-04-17,8090.02734375,9553.768122880452
2025-04-21,7899.673828125,9579.914450655591
2025-04-22,8090.02734375,9583.49918564043
2025-04-23,8304.17578125,9602.48280614582
2025-04-24,8066.2333984375,9614.435413254187
